10,0.537450,0.259291
20,0.538469,0.367329
30,0.496108,0.435609
40,0.528837,0.424373
50,0.459366,0.565255
60,0.465019,0.579084
70,0.500725,0.473639
80,0.491410,0.478825
90,0.445070,0.640449
100,0.472802,0.503889
110,0.449047,0.625756
120,0.440882,0.650821
130,0.446040,0.579084
140,0.451167,0.629214
150,0.454768,0.583405
160,0.449855,0.582541
170,0.441488,0.664650
180,0.450842,0.612792
190,0.480789,0.505618
200,0.442542,0.595506
210,0.437577,0.659464
220,0.432459,0.649092
230,0.436127,0.660328
240,0.431599,0.675022
250,0.431626,0.657736
260,0.429754,0.659464
270,0.417199,0.713051
280,0.427418,0.651685
290,0.414488,0.724287
300,0.424620,0.673293
310,0.420584,0.707865
320,0.420607,0.694901
330,0.418294,0.704408
340,0.416594,0.712187
350,0.414956,0.720830
360,0.413502,0.724287
370,0.412265,0.727744
380,0.411262,0.728608
390,0.410477,0.730337
400,0.409859,0.732930
410,0.409357,0.735523
420,0.408932,0.737252
430,0.408560,0.738116
440,0.408226,0.738980
450,0.407922,0.739844
460,0.407643,0.740709
470,0.407383,0.742437
480,0.407141,0.745895
490,0.406913,0.745895
500,0.406697,0.745895
510,0.406493,0.749352
520,0.406299,0.750216
530,0.406115,0.750216
540,0.405938,0.751945
550,0.405768,0.752809
560,0.405606,0.752809
570,0.405450,0.752809
580,0.405300,0.752809
590,0.405155,0.752809
600,0.405015,0.753673
610,0.404880,0.756266
620,0.404749,0.756266
630,0.404623,0.756266
640,0.404500,0.757131
650,0.404381,0.758859
660,0.404265,0.758859
670,0.404152,0.759723
680,0.404043,0.761452
690,0.403936,0.761452
700,0.403832,0.763181
710,0.403730,0.764045
720,0.403631,0.764909
730,0.403534,0.764909
740,0.403440,0.765774
750,0.403347,0.765774
760,0.403257,0.765774
770,0.403168,0.765774
780,0.403081,0.765774
790,0.402996,0.765774
800,0.402913,0.766638
810,0.402831,0.766638
820,0.402751,0.767502
830,0.402672,0.768366
840,0.402594,0.769231
850,0.402519,0.769231
860,0.402444,0.769231
870,0.402371,0.769231
880,0.402298,0.769231
890,0.402226,0.769231
900,0.402157,0.769231
910,0.402088,0.770095
920,0.402019,0.770095
930,0.401953,0.770095
940,0.401886,0.770959
950,0.401821,0.770959
960,0.401757,0.772688
970,0.401694,0.772688
980,0.401631,0.773552
990,0.401569,0.774417
1000,0.401508,0.775281
1010,0.401448,0.777009
1020,0.401388,0.778738
1030,0.401330,0.778738
1040,0.401272,0.779602
1050,0.401214,0.780467
1060,0.401158,0.780467
1070,0.401102,0.780467
1080,0.401046,0.780467
1090,0.400991,0.780467
1100,0.400937,0.782195
1110,0.400883,0.783060
1120,0.400830,0.783060
1130,0.400778,0.783060
1140,0.400726,0.783924
1150,0.400674,0.784788
1160,0.400623,0.784788
1170,0.400573,0.784788
1180,0.400523,0.784788
1190,0.400473,0.784788
1200,0.400424,0.784788
1210,0.400376,0.785653
1220,0.400327,0.786517
1230,0.400280,0.786517
1240,0.400232,0.786517
1250,0.400185,0.786517
1260,0.400139,0.786517
1270,0.400093,0.786517
1280,0.400048,0.786517
